0.1449 	WARNING 	Movie2 stim could not be imported and won't be available
42.1925 	EXP 	New trial (rep=0, index=2): {'block_10_ans': 4, 'block_13_img': 'image_folder/stim_4.png', 'block_4_img': 'image_folder/stim_3.png', 'block_6_img': 'image_folder/stim_4.png', 'block_14_img': 'image_folder/stim_2.png', 'block_9_ans': 2, 'block_1_img': 'image_folder/stim_3.png', 'block_10_img': 'image_folder/stim_4.png', 'block_14_ans': 2, 'block_5_img': 'image_folder/stim_2.png', 'block_16_img': 'image_folder/stim_3.png', 'block_1_ans': 3, 'block_8_ans': 2, 'block_16_ans': 3, 'block_5_ans': 2, 'block_15_ans': 2, 'block_13_ans': 4, 'block_9_img': 'image_folder/stim_2.png', 'block_6_ans': 4, 'block_7_ans': 4, 'block_8_img': 'image_folder/stim_2.png', 'block_2_ans': 5, 'block_12_ans': 2, 'block_12_img': 'image_folder/stim_2.png', 'block_11_ans': 3, 'block_3_ans': 3, 'block_4_ans': 3, 'block_7_img': 'image_folder/stim_4.png', 'block_2_img': 'image_folder/stim_5.png', 'block_11_img': 'image_folder/stim_3.png', 'block_3_img': 'image_folder/stim_3.png', 'block_15_img': 'image_folder/stim_2.png'}
42.1947 	EXP 	New trial (rep=0, index=3): {'block_10_ans': 3, 'block_13_img': 'image_folder/stim_2.png', 'block_4_img': 'image_folder/stim_4.png', 'block_6_img': 'image_folder/stim_2.png', 'block_14_img': 'image_folder/stim_4.png', 'block_9_ans': 3, 'block_1_img': 'image_folder/stim_2.png', 'block_10_img': 'image_folder/stim_3.png', 'block_14_ans': 4, 'block_5_img': 'image_folder/stim_4.png', 'block_16_img': 'image_folder/stim_4.png', 'block_1_ans': 2, 'block_8_ans': 5, 'block_16_ans': 4, 'block_5_ans': 4, 'block_15_ans': 4, 'block_13_ans': 2, 'block_9_img': 'image_folder/stim_3.png', 'block_6_ans': 2, 'block_7_ans': 2, 'block_8_img': 'image_folder/stim_5.png', 'block_2_ans': 2, 'block_12_ans': 4, 'block_12_img': 'image_folder/stim_4.png', 'block_11_ans': 4, 'block_3_ans': 2, 'block_4_ans': 4, 'block_7_img': 'image_folder/stim_2.png', 'block_2_img': 'image_folder/stim_2.png', 'block_11_img': 'image_folder/stim_4.png', 'block_3_img': 'image_folder/stim_2.png', 'block_15_img': 'image_folder/stim_4.png'}
42.1972 	EXP 	New trial (rep=0, index=4): {'block_10_ans': 2, 'block_13_img': 'image_folder/stim_5.png', 'block_4_img': 'image_folder/stim_3.png', 'block_6_img': 'image_folder/stim_4.png', 'block_14_img': 'image_folder/stim_2.png', 'block_9_ans': 5, 'block_1_img': 'image_folder/stim_4.png', 'block_10_img': 'image_folder/stim_2.png', 'block_14_ans': 2, 'block_5_img': 'image_folder/stim_2.png', 'block_16_img': 'image_folder/stim_2.png', 'block_1_ans': 4, 'block_8_ans': 3, 'block_16_ans': 2, 'block_5_ans': 2, 'block_15_ans': 2, 'block_13_ans': 5, 'block_9_img': 'image_folder/stim_5.png', 'block_6_ans': 4, 'block_7_ans': 4, 'block_8_img': 'image_folder/stim_3.png', 'block_2_ans': 4, 'block_12_ans': 2, 'block_12_img': 'image_folder/stim_2.png', 'block_11_ans': 2, 'block_3_ans': 3, 'block_4_ans': 3, 'block_7_img': 'image_folder/stim_4.png', 'block_2_img': 'image_folder/stim_4.png', 'block_11_img': 'image_folder/stim_2.png', 'block_3_img': 'image_folder/stim_3.png', 'block_15_img': 'image_folder/stim_2.png'}
42.1997 	EXP 	New trial (rep=0, index=5): {'block_10_ans': 4, 'block_13_img': 'image_folder/stim_3.png', 'block_4_img': 'image_folder/stim_4.png', 'block_6_img': 'image_folder/stim_2.png', 'block_14_img': 'image_folder/stim_4.png', 'block_9_ans': 4, 'block_1_img': 'image_folder/stim_2.png', 'block_10_img': 'image_folder/stim_4.png', 'block_14_ans': 4, 'block_5_img': 'image_folder/stim_3.png', 'block_16_img': 'image_folder/stim_3.png', 'block_1_ans': 2, 'block_8_ans': 2, 'block_16_ans': 3, 'block_5_ans': 3, 'block_15_ans': 4, 'block_13_ans': 3, 'block_9_img': 'image_folder/stim_4.png', 'block_6_ans': 2, 'block_7_ans': 3, 'block_8_img': 'image_folder/stim_2.png', 'block_2_ans': 5, 'block_12_ans': 3, 'block_12_img': 'image_folder/stim_3.png', 'block_11_ans': 3, 'block_3_ans': 5, 'block_4_ans': 4, 'block_7_img': 'image_folder/stim_3.png', 'block_2_img': 'image_folder/stim_5.png', 'block_11_img': 'image_folder/stim_3.png', 'block_3_img': 'image_folder/stim_5.png', 'block_15_img': 'image_folder/stim_4.png'}
42.2021 	EXP 	New trial (rep=0, index=6): {'block_10_ans': 3, 'block_13_img': 'image_folder/stim_2.png', 'block_4_img': 'image_folder/stim_2.png', 'block_6_img': 'image_folder/stim_3.png', 'block_14_img': 'image_folder/stim_3.png', 'block_9_ans': 5, 'block_1_img': 'image_folder/stim_3.png', 'block_10_img': 'image_folder/stim_3.png', 'block_14_ans': 3, 'block_5_img': 'image_folder/stim_5.png', 'block_16_img': 'image_folder/stim_4.png', 'block_1_ans': 3, 'block_8_ans': 4, 'block_16_ans': 4, 'block_5_ans': 5, 'block_15_ans': 2, 'block_13_ans': 2, 'block_9_img': 'image_folder/stim_5.png', 'block_6_ans': 3, 'block_7_ans': 2, 'block_8_img': 'image_folder/stim_4.png', 'block_2_ans': 3, 'block_12_ans': 5, 'block_12_img': 'image_folder/stim_5.png', 'block_11_ans': 2, 'block_3_ans': 3, 'block_4_ans': 2, 'block_7_img': 'image_folder/stim_2.png', 'block_2_img': 'image_folder/stim_3.png', 'block_11_img': 'image_folder/stim_2.png', 'block_3_img': 'image_folder/stim_3.png', 'block_15_img': 'image_folder/stim_2.png'}
42.2044 	EXP 	New trial (rep=0, index=7): {'block_10_ans': 2, 'block_13_img': 'image_folder/stim_4.png', 'block_4_img': 'image_folder/stim_4.png', 'block_6_img': 'image_folder/stim_2.png', 'block_14_img': 'image_folder/stim_2.png', 'block_9_ans': 3, 'block_1_img': 'image_folder/stim_2.png', 'block_10_img': 'image_folder/stim_2.png', 'block_14_ans': 2, 'block_5_img': 'image_folder/stim_4.png', 'block_16_img': 'image_folder/stim_3.png', 'block_1_ans': 2, 'block_8_ans': 5, 'block_16_ans': 3, 'block_5_ans': 4, 'block_15_ans': 4, 'block_13_ans': 4, 'block_9_img': 'image_folder/stim_3.png', 'block_6_ans': 2, 'block_7_ans': 3, 'block_8_img': 'image_folder/stim_5.png', 'block_2_ans': 2, 'block_12_ans': 4, 'block_12_img': 'image_folder/stim_4.png', 'block_11_ans': 3, 'block_3_ans': 4, 'block_4_ans': 4, 'block_7_img': 'image_folder/stim_3.png', 'block_2_img': 'image_folder/stim_2.png', 'block_11_img': 'image_folder/stim_3.png', 'block_3_img': 'image_folder/stim_4.png', 'block_15_img': 'image_folder/stim_4.png'}
42.2068 	EXP 	New trial (rep=0, index=8): {'block_10_ans': 4, 'block_13_img': 'image_folder/stim_5.png', 'block_4_img': 'image_folder/stim_3.png', 'block_6_img': 'image_folder/stim_4.png', 'block_14_img': 'image_folder/stim_3.png', 'block_9_ans': 4, 'block_1_img': 'image_folder/stim_3.png', 'block_10_img': 'image_folder/stim_4.png', 'block_14_ans': 3, 'block_5_img': 'image_folder/stim_5.png', 'block_16_img': 'image_folder/stim_2.png', 'block_1_ans': 3, 'block_8_ans': 4, 'block_16_ans': 2, 'block_5_ans': 5, 'block_15_ans': 3, 'block_13_ans': 5, 'block_9_img': 'image_folder/stim_4.png', 'block_6_ans': 4, 'block_7_ans': 4, 'block_8_img': 'image_folder/stim_4.png', 'block_2_ans': 3, 'block_12_ans': 5, 'block_12_img': 'image_folder/stim_5.png', 'block_11_ans': 5, 'block_3_ans': 2, 'block_4_ans': 3, 'block_7_img': 'image_folder/stim_4.png', 'block_2_img': 'image_folder/stim_3.png', 'block_11_img': 'image_folder/stim_5.png', 'block_3_img': 'image_folder/stim_2.png', 'block_15_img': 'image_folder/stim_3.png'}
42.2091 	EXP 	New trial (rep=0, index=9): {'block_10_ans': 3, 'block_13_img': 'image_folder/stim_4.png', 'block_4_img': 'image_folder/stim_4.png', 'block_6_img': 'image_folder/stim_2.png', 'block_14_img': 'image_folder/stim_2.png', 'block_9_ans': 2, 'block_1_img': 'image_folder/stim_4.png', 'block_10_img': 'image_folder/stim_3.png', 'block_14_ans': 2, 'block_5_img': 'image_folder/stim_3.png', 'block_16_img': 'image_folder/stim_3.png', 'block_1_ans': 4, 'block_8_ans': 5, 'block_16_ans': 3, 'block_5_ans': 3, 'block_15_ans': 4, 'block_13_ans': 4, 'block_9_img': 'image_folder/stim_2.png', 'block_6_ans': 2, 'block_7_ans': 3, 'block_8_img': 'image_folder/stim_5.png', 'block_2_ans': 5, 'block_12_ans': 3, 'block_12_img': 'image_folder/stim_3.png', 'block_11_ans': 4, 'block_3_ans': 3, 'block_4_ans': 4, 'block_7_img': 'image_folder/stim_3.png', 'block_2_img': 'image_folder/stim_5.png', 'block_11_img': 'image_folder/stim_4.png', 'block_3_img': 'image_folder/stim_3.png', 'block_15_img': 'image_folder/stim_4.png'}
42.2117 	EXP 	New trial (rep=0, index=10): {'block_10_ans': 2, 'block_13_img': 'image_folder/stim_5.png', 'block_4_img': 'image_folder/stim_2.png', 'block_6_img': 'image_folder/stim_4.png', 'block_14_img': 'image_folder/stim_4.png', 'block_9_ans': 5, 'block_1_img': 'image_folder/stim_2.png', 'block_10_img': 'image_folder/stim_2.png', 'block_14_ans': 4, 'block_5_img': 'image_folder/stim_4.png', 'block_16_img': 'image_folder/stim_2.png', 'block_1_ans': 2, 'block_8_ans': 2, 'block_16_ans': 2, 'block_5_ans': 4, 'block_15_ans': 2, 'block_13_ans': 5, 'block_9_img': 'image_folder/stim_5.png', 'block_6_ans': 4, 'block_7_ans': 4, 'block_8_img': 'image_folder/stim_2.png', 'block_2_ans': 3, 'block_12_ans': 4, 'block_12_img': 'image_folder/stim_4.png', 'block_11_ans': 2, 'block_3_ans': 2, 'block_4_ans': 2, 'block_7_img': 'image_folder/stim_4.png', 'block_2_img': 'image_folder/stim_3.png', 'block_11_img': 'image_folder/stim_2.png', 'block_3_img': 'image_folder/stim_2.png', 'block_15_img': 'image_folder/stim_2.png'}
42.2141 	EXP 	New trial (rep=0, index=11): {'block_10_ans': 4, 'block_13_img': 'image_folder/stim_2.png', 'block_4_img': 'image_folder/stim_3.png', 'block_6_img': 'image_folder/stim_2.png', 'block_14_img': 'image_folder/stim_2.png', 'block_9_ans': 3, 'block_1_img': 'image_folder/stim_4.png', 'block_10_img': 'image_folder/stim_4.png', 'block_14_ans': 2, 'block_5_img': 'image_folder/stim_2.png', 'block_16_img': 'image_folder/stim_3.png', 'block_1_ans': 4, 'block_8_ans': 4, 'block_16_ans': 3, 'block_5_ans': 2, 'block_15_ans': 4, 'block_13_ans': 2, 'block_9_img': 'image_folder/stim_3.png', 'block_6_ans': 2, 'block_7_ans': 3, 'block_8_img': 'image_folder/stim_4.png', 'block_2_ans': 4, 'block_12_ans': 2, 'block_12_img': 'image_folder/stim_2.png', 'block_11_ans': 4, 'block_3_ans': 3, 'block_4_ans': 3, 'block_7_img': 'image_folder/stim_3.png', 'block_2_img': 'image_folder/stim_4.png', 'block_11_img': 'image_folder/stim_4.png', 'block_3_img': 'image_folder/stim_3.png', 'block_15_img': 'image_folder/stim_4.png'}
42.2168 	EXP 	New trial (rep=0, index=12): {'block_10_ans': 3, 'block_13_img': 'image_folder/stim_4.png', 'block_4_img': 'image_folder/stim_2.png', 'block_6_img': 'image_folder/stim_3.png', 'block_14_img': 'image_folder/stim_3.png', 'block_9_ans': 2, 'block_1_img': 'image_folder/stim_2.png', 'block_10_img': 'image_folder/stim_3.png', 'block_14_ans': 3, 'block_5_img': 'image_folder/stim_5.png', 'block_16_img': 'image_folder/stim_4.png', 'block_1_ans': 2, 'block_8_ans': 5, 'block_16_ans': 4, 'block_5_ans': 5, 'block_15_ans': 3, 'block_13_ans': 4, 'block_9_img': 'image_folder/stim_2.png', 'block_6_ans': 3, 'block_7_ans': 4, 'block_8_img': 'image_folder/stim_5.png', 'block_2_ans': 2, 'block_12_ans': 5, 'block_12_img': 'image_folder/stim_5.png', 'block_11_ans': 2, 'block_3_ans': 5, 'block_4_ans': 2, 'block_7_img': 'image_folder/stim_4.png', 'block_2_img': 'image_folder/stim_2.png', 'block_11_img': 'image_folder/stim_2.png', 'block_3_img': 'image_folder/stim_5.png', 'block_15_img': 'image_folder/stim_3.png'}
42.2193 	EXP 	New trial (rep=0, index=13): {'block_10_ans': 4, 'block_13_img': 'image_folder/stim_5.png', 'block_4_img': 'image_folder/stim_4.png', 'block_6_img': 'image_folder/stim_2.png', 'block_14_img': 'image_folder/stim_4.png', 'block_9_ans': 4, 'block_1_img': 'image_folder/stim_3.png', 'block_10_img': 'image_folder/stim_4.png', 'block_14_ans': 4, 'block_5_img': 'image_folder/stim_3.png', 'block_16_img': 'image_folder/stim_3.png', 'block_1_ans': 3, 'block_8_ans': 3, 'block_16_ans': 3, 'block_5_ans': 3, 'block_15_ans': 4, 'block_13_ans': 5, 'block_9_img': 'image_folder/stim_4.png', 'block_6_ans': 2, 'block_7_ans': 3, 'block_8_img': 'image_folder/stim_3.png', 'block_2_ans': 3, 'block_12_ans': 3, 'block_12_img': 'image_folder/stim_3.png', 'block_11_ans': 3, 'block_3_ans': 4, 'block_4_ans': 4, 'block_7_img': 'image_folder/stim_3.png', 'block_2_img': 'image_folder/stim_3.png', 'block_11_img': 'image_folder/stim_3.png', 'block_3_img': 'image_folder/stim_4.png', 'block_15_img': 'image_folder/stim_4.png'}
42.2215 	EXP 	New trial (rep=0, index=14): {'block_10_ans': 2, 'block_13_img': 'image_folder/stim_3.png', 'block_4_img': 'image_folder/stim_2.png', 'block_6_img': 'image_folder/stim_4.png', 'block_14_img': 'image_folder/stim_2.png', 'block_9_ans': 5, 'block_1_img': 'image_folder/stim_4.png', 'block_10_img': 'image_folder/stim_2.png', 'block_14_ans': 2, 'block_5_img': 'image_folder/stim_2.png', 'block_16_img': 'image_folder/stim_2.png', 'block_1_ans': 4, 'block_8_ans': 2, 'block_16_ans': 2, 'block_5_ans': 2, 'block_15_ans': 2, 'block_13_ans': 3, 'block_9_img': 'image_folder/stim_5.png', 'block_6_ans': 4, 'block_7_ans': 4, 'block_8_img': 'image_folder/stim_2.png', 'block_2_ans': 2, 'block_12_ans': 2, 'block_12_img': 'image_folder/stim_2.png', 'block_11_ans': 5, 'block_3_ans': 2, 'block_4_ans': 2, 'block_7_img': 'image_folder/stim_4.png', 'block_2_img': 'image_folder/stim_2.png', 'block_11_img': 'image_folder/stim_5.png', 'block_3_img': 'image_folder/stim_2.png', 'block_15_img': 'image_folder/stim_2.png'}
42.2260 	EXP 	image_2: image = 'image_folder/stim_3.png'
42.2260 	EXP 	image_2: image = 'image_folder/stim_4.png'
42.2260 	EXP 	image_2: image = 'image_folder/stim_3.png'
42.2260 	EXP 	image_2: image = 'image_folder/stim_2.png'
42.2260 	EXP 	image_2: image = 'image_folder/stim_4.png'
42.2260 	EXP 	image_2: image = 'image_folder/stim_2.png'
42.2260 	EXP 	image_2: image = 'image_folder/stim_3.png'
42.2260 	EXP 	image_2: image = 'image_folder/stim_2.png'
42.2260 	EXP 	image_2: image = 'image_folder/stim_3.png'
42.2260 	EXP 	image_2: image = 'image_folder/stim_4.png'
42.2260 	EXP 	image_2: image = 'image_folder/stim_2.png'
42.2260 	EXP 	image_2: image = 'image_folder/stim_4.png'
42.2260 	EXP 	image_2: image = 'image_folder/stim_2.png'
42.2260 	EXP 	image_2: image = 'image_folder/stim_3.png'
42.2260 	EXP 	image_2: image = 'image_folder/stim_4.png'
42.2260 	EXP 	image_2: autoDraw = True
43.2264 	DATA 	No keypress (maxWait exceeded)
43.2286 	EXP 	unnamed Circle: autoDraw = True
43.3311 	EXP 	image_2: autoDraw = False
43.3328 	EXP 	unnamed Circle: autoDraw = False
43.6847 	EXP 	New trial (rep=0, index=15): {'block_10_ans': 3, 'block_13_img': 'image_folder/stim_2.png', 'block_4_img': 'image_folder/stim_4.png', 'block_6_img': 'image_folder/stim_3.png', 'block_14_img': 'image_folder/stim_4.png', 'block_9_ans': 4, 'block_1_img': 'image_folder/stim_2.png', 'block_10_img': 'image_folder/stim_3.png', 'block_14_ans': 4, 'block_5_img': 'image_folder/stim_4.png', 'block_16_img': 'image_folder/stim_3.png', 'block_1_ans': 2, 'block_8_ans': 3, 'block_16_ans': 3, 'block_5_ans': 4, 'block_15_ans': 3, 'block_13_ans': 2, 'block_9_img': 'image_folder/stim_4.png', 'block_6_ans': 3, 'block_7_ans': 2, 'block_8_img': 'image_folder/stim_3.png', 'block_2_ans': 3, 'block_12_ans': 4, 'block_12_img': 'image_folder/stim_4.png', 'block_11_ans': 4, 'block_3_ans': 4, 'block_4_ans': 4, 'block_7_img': 'image_folder/stim_2.png', 'block_2_img': 'image_folder/stim_3.png', 'block_11_img': 'image_folder/stim_4.png', 'block_3_img': 'image_folder/stim_4.png', 'block_15_img': 'image_folder/stim_3.png'}
43.6901 	EXP 	image_2: image = 'image_folder/stim_2.png'
43.6901 	EXP 	image_2: autoDraw = True
44.6906 	DATA 	No keypress (maxWait exceeded)
44.6926 	EXP 	unnamed Circle: autoDraw = True
44.7943 	EXP 	image_2: autoDraw = False
44.7959 	EXP 	unnamed Circle: autoDraw = False
45.1478 	EXP 	New trial (rep=0, index=16): {'block_10_ans': 2, 'block_13_img': 'image_folder/stim_3.png', 'block_4_img': 'image_folder/stim_3.png', 'block_6_img': 'image_folder/stim_4.png', 'block_14_img': 'image_folder/stim_2.png', 'block_9_ans': 5, 'block_1_img': 'image_folder/stim_3.png', 'block_10_img': 'image_folder/stim_2.png', 'block_14_ans': 2, 'block_5_img': 'image_folder/stim_5.png', 'block_16_img': 'image_folder/stim_4.png', 'block_1_ans': 3, 'block_8_ans': 5, 'block_16_ans': 4, 'block_5_ans': 5, 'block_15_ans': 2, 'block_13_ans': 3, 'block_9_img': 'image_folder/stim_5.png', 'block_6_ans': 4, 'block_7_ans': 4, 'block_8_img': 'image_folder/stim_5.png', 'block_2_ans': 5, 'block_12_ans': 5, 'block_12_img': 'image_folder/stim_5.png', 'block_11_ans': 5, 'block_3_ans': 2, 'block_4_ans': 3, 'block_7_img': 'image_folder/stim_4.png', 'block_2_img': 'image_folder/stim_5.png', 'block_11_img': 'image_folder/stim_5.png', 'block_3_img': 'image_folder/stim_2.png', 'block_15_img': 'image_folder/stim_2.png'}
45.1519 	EXP 	image_2: image = 'image_folder/stim_3.png'
45.1519 	EXP 	image_2: autoDraw = True
46.1525 	DATA 	No keypress (maxWait exceeded)
46.1546 	EXP 	unnamed Circle: autoDraw = True
46.2567 	EXP 	image_2: autoDraw = False
46.2582 	EXP 	unnamed Circle: autoDraw = False
46.6099 	EXP 	New trial (rep=0, index=17): {'block_10_ans': 4, 'block_13_img': 'image_folder/stim_5.png', 'block_4_img': 'image_folder/stim_4.png', 'block_6_img': 'image_folder/stim_2.png', 'block_14_img': 'image_folder/stim_3.png', 'block_9_ans': 2, 'block_1_img': 'image_folder/stim_2.png', 'block_10_img': 'image_folder/stim_4.png', 'block_14_ans': 3, 'block_5_img': 'image_folder/stim_4.png', 'block_16_img': 'image_folder/stim_2.png', 'block_1_ans': 2, 'block_8_ans': 3, 'block_16_ans': 2, 'block_5_ans': 4, 'block_15_ans': 4, 'block_13_ans': 5, 'block_9_img': 'image_folder/stim_2.png', 'block_6_ans': 2, 'block_7_ans': 3, 'block_8_img': 'image_folder/stim_3.png', 'block_2_ans': 4, 'block_12_ans': 4, 'block_12_img': 'image_folder/stim_4.png', 'block_11_ans': 3, 'block_3_ans': 3, 'block_4_ans': 4, 'block_7_img': 'image_folder/stim_3.png', 'block_2_img': 'image_folder/stim_4.png', 'block_11_img': 'image_folder/stim_3.png', 'block_3_img': 'image_folder/stim_3.png', 'block_15_img': 'image_folder/stim_4.png'}
46.6138 	EXP 	image_2: image = 'image_folder/stim_2.png'
46.6138 	EXP 	image_2: autoDraw = True
47.6144 	DATA 	No keypress (maxWait exceeded)
47.6166 	EXP 	unnamed Circle: autoDraw = True
47.7186 	EXP 	image_2: autoDraw = False
47.7202 	EXP 	unnamed Circle: autoDraw = False
48.0715 	EXP 	New trial (rep=0, index=18): {'block_10_ans': 2, 'block_13_img': 'image_folder/stim_3.png', 'block_4_img': 'image_folder/stim_2.png', 'block_6_img': 'image_folder/stim_4.png', 'block_14_img': 'image_folder/stim_2.png', 'block_9_ans': 4, 'block_1_img': 'image_folder/stim_4.png', 'block_10_img': 'image_folder/stim_2.png', 'block_14_ans': 2, 'block_5_img': 'image_folder/stim_5.png', 'block_16_img': 'image_folder/stim_4.png', 'block_1_ans': 4, 'block_8_ans': 4, 'block_16_ans': 4, 'block_5_ans': 5, 'block_15_ans': 2, 'block_13_ans': 3, 'block_9_img': 'image_folder/stim_4.png', 'block_6_ans': 4, 'block_7_ans': 2, 'block_8_img': 'image_folder/stim_4.png', 'block_2_ans': 2, 'block_12_ans': 5, 'block_12_img': 'image_folder/stim_5.png', 'block_11_ans': 4, 'block_3_ans': 5, 'block_4_ans': 2, 'block_7_img': 'image_folder/stim_2.png', 'block_2_img': 'image_folder/stim_2.png', 'block_11_img': 'image_folder/stim_4.png', 'block_3_img': 'image_folder/stim_5.png', 'block_15_img': 'image_folder/stim_2.png'}
48.0772 	EXP 	image_2: image = 'image_folder/stim_4.png'
48.0772 	EXP 	image_2: autoDraw = True
49.0778 	DATA 	No keypress (maxWait exceeded)
